time,Bx,By,Bz,BT
0.007578,-0.27,30.62,-17.57,35.31
0.008464,0.12,30.44,-17.26,34.99
0.009019,0.32,30.42,-17.41,35.05
0.010160,0.38,30.20,-17.31,34.81
0.179945,0.48,30.07,-17.27,34.68
0.180621,0.30,29.87,-17.42,34.58
0.181078,0.29,29.63,-17.34,34.33
0.181320,0.39,29.54,-17.57,34.37
0.181561,0.29,29.37,-17.76,34.32
0.181847,0.07,29.53,-17.82,34.50
0.182132,0.04,29.90,-17.85,34.82
0.182347,0.06,30.08,-17.83,34.97
0.182538,0.08,30.35,-17.99,35.28
0.182734,0.13,30.53,-18.13,35.51
0.182920,0.19,30.58,-18.21,35.59
0.183106,0.05,30.59,-18.02,35.50
0.183284,0.19,30.84,-17.88,35.65
0.183464,0.31,30.89,-18.10,35.80
0.183634,0.41,30.76,-18.06,35.67
0.183812,0.19,30.83,-18.45,35.93
0.183987,0.21,30.81,-18.66,36.02
0.188802,0.05,30.89,-18.49,36.00
0.197016,-0.14,31.07,-18.59,36.21
0.208036,-0.12,31.08,-18.76,36.31
0.217011,-0.13,30.76,-18.72,36.00
0.227291,-0.03,30.76,-18.68,35.98
0.237860,-0.11,30.52,-18.73,35.81
0.248296,0.07,30.38,-18.52,35.57
0.257717,0.07,30.47,-18.42,35.60
0.267669,0.24,30.34,-18.32,35.44
0.277827,0.44,30.23,-18.34,35.36
0.289740,0.52,30.34,-18.03,35.30
0.297670,0.64,30.46,-17.84,35.30
0.307612,0.56,30.31,-17.72,35.12
0.318589,0.50,30.47,-17.53,35.15
0.328378,0.49,30.69,-17.30,35.23
0.339726,0.56,30.60,-17.26,35.13
0.347399,0.43,30.71,-17.38,35.28
0.358045,0.31,30.76,-17.30,35.30
0.368600,0.17,30.60,-17.26,35.14
0.377940,0.11,30.71,-17.32,35.26
0.389511,-0.21,30.81,-17.13,35.25
0.397976,0.03,30.90,-17.30,35.41
0.408349,-0.13,30.80,-17.40,35.38
0.417756,-0.11,30.66,-17.22,35.17
0.427793,0.07,30.62,-17.18,35.12
0.440956,0.23,30.71,-17.18,35.19
0.447938,0.47,30.78,-17.42,35.37
0.457709,0.43,30.57,-17.63,35.29
0.467432,0.58,30.60,-17.76,35.39
0.477317,0.26,30.47,-17.51,35.14
0.489316,0.24,30.30,-17.53,35.01
0.496909,0.14,30.34,-17.76,35.15
0.508589,0.15,30.45,-17.72,35.23
0.517223,0.11,30.47,-17.57,35.17
0.528507,-0.05,30.48,-17.34,35.06
0.543794,-0.07,30.58,-17.49,35.23
0.548145,0.05,30.56,-17.51,35.22
0.558155,0.17,30.70,-17.73,35.45
0.568375,0.07,30.57,-17.78,35.37
0.578087,0.15,30.65,-17.49,35.29
0.588515,0.11,30.81,-17.69,35.53
0.596920,-0.09,30.70,-17.77,35.47
0.608219,-0.17,30.85,-18.04,35.73
0.617982,-0.09,30.92,-17.75,35.66
0.628764,-0.17,30.72,-17.96,35.59
0.639311,-0.15,30.64,-18.12,35.60
0.649486,-0.05,30.86,-18.02,35.74
0.657942,0.09,30.89,-18.16,35.83
0.667558,0.23,30.64,-17.88,35.48
0.679972,0.25,30.93,-17.90,35.74
0.697419,0.43,30.97,-17.71,35.68
0.698826,0.31,30.81,-17.69,35.53
0.707393,0.27,31.00,-17.56,35.62
0.717364,0.25,31.20,-17.35,35.70
0.727485,0.12,31.28,-17.23,35.71
0.739422,-0.24,31.18,-17.12,35.57
0.747303,-0.36,31.19,-17.27,35.66
0.763315,-0.25,30.88,-17.27,35.38
0.767529,-0.41,30.73,-17.54,35.39
0.782650,-0.37,30.88,-17.48,35.49
0.796743,-0.44,30.96,-17.21,35.42
0.798148,-0.43,30.92,-17.35,35.46
0.807836,-0.43,30.92,-17.44,35.50
0.817515,-0.53,30.82,-17.85,35.62
0.827667,-0.48,31.03,-17.95,35.85
0.839208,-0.40,31.09,-17.95,35.90
0.847517,-0.36,31.00,-17.85,35.77
0.857898,-0.29,30.69,-17.85,35.50
0.882682,-0.43,30.30,-17.98,35.24
0.884269,-0.44,30.14,-17.78,35.00
0.896330,-0.61,30.25,-17.84,35.13
0.897679,-0.53,30.42,-17.65,35.17
0.907857,-0.41,30.28,-17.57,35.01
0.917516,-0.55,30.35,-17.51,35.05
0.927508,-0.57,30.37,-17.34,34.98
0.939373,-0.75,30.61,-17.46,35.25
0.947643,-0.54,31.06,-17.62,35.72
0.958703,-0.52,31.13,-17.82,35.87
0.968968,-0.24,31.04,-17.68,35.72
0.978574,-0.30,31.08,-17.52,35.68
0.987708,-0.25,30.95,-17.62,35.61
0.997021,-0.07,30.80,-17.73,35.54
1.007893,0.01,31.03,-17.71,35.73
1.017492,-0.02,31.11,-17.70,35.79
1.027689,0.01,31.03,-17.81,35.78
1.051605,0.09,30.74,-17.51,35.38
1.053413,0.05,30.74,-17.88,35.56
1.058150,0.21,30.60,-18.25,35.63
1.067180,0.07,30.82,-18.21,35.80
1.078316,0.00,31.17,-18.18,36.08
1.088458,0.05,30.85,-18.31,35.88
1.098073,0.17,30.60,-18.38,35.69
1.106868,0.30,30.27,-18.26,35.35
1.118330,0.27,30.51,-18.75,35.81
1.127647,0.33,30.50,-18.50,35.67
1.142434,0.73,30.83,-18.21,35.81
1.147954,0.75,30.94,-18.04,35.82
1.157908,0.89,30.85,-18.07,35.76
1.169017,0.91,30.92,-18.02,35.80
1.177462,0.87,30.98,-17.92,35.80
1.188542,0.71,31.40,-17.95,36.18
1.198184,0.46,31.48,-17.91,36.22
1.207635,0.64,31.49,-18.03,36.29
1.218276,0.15,31.14,-17.95,35.94
1.228607,-0.09,30.92,-18.08,35.82
1.237219,-0.03,30.85,-17.81,35.62
1.247474,-0.22,31.19,-17.95,35.99
1.257768,-0.28,31.45,-17.96,36.22
1.268542,-0.24,31.23,-17.82,35.96
1.277426,-0.22,31.09,-17.77,35.81
1.287488,-0.60,31.10,-17.64,35.76
1.298130,-0.48,31.36,-17.86,36.10
1.308289,-0.36,31.33,-17.74,36.01
1.318526,-0.66,31.49,-17.94,36.25
1.328031,-0.54,31.38,-18.01,36.19
1.337197,-0.32,31.14,-17.85,35.90
1.349208,-0.32,31.23,-17.91,36.01
1.357992,-0.30,31.21,-17.95,36.01
1.368291,-0.14,31.14,-17.93,35.93
1.377601,0.01,30.79,-17.83,35.58
1.386723,0.17,30.86,-17.81,35.63
1.398220,0.23,30.74,-17.75,35.49
