time,Bx,By,Bz,BT
0.004049,0.02,-27.05,-17.84,32.40
0.004482,-0.21,-27.06,-17.81,32.39
0.004738,-0.13,-26.83,-18.20,32.42
0.017377,-0.20,-27.17,-17.96,32.57
0.021686,0.06,-27.29,-18.03,32.71
0.032199,0.04,-27.22,-18.23,32.76
0.042141,-0.18,-27.38,-18.15,32.85
0.052128,0.00,-27.49,-17.99,32.85
0.062367,-0.26,-27.62,-18.15,33.04
0.071428,-0.10,-27.76,-18.03,33.10
0.081470,-0.21,-28.12,-17.77,33.26
0.092260,-0.41,-28.21,-17.96,33.45
0.101421,-0.67,-28.28,-18.08,33.58
0.111456,-0.81,-28.31,-17.91,33.51
0.122804,-0.75,-28.17,-18.01,33.44
0.132919,-0.94,-27.84,-18.17,33.26
0.147873,-0.54,-27.85,-18.11,33.22
0.153180,-0.66,-27.58,-18.29,33.10
0.162199,-0.85,-27.06,-18.18,32.61
0.172927,-0.73,-26.77,-18.07,32.30
0.183290,-0.76,-26.35,-18.17,32.02
0.194449,-0.54,-26.21,-18.37,32.01
0.202894,-0.66,-26.40,-18.07,32.00
0.212583,-0.66,-26.41,-18.17,32.06
0.222901,-0.86,-26.32,-18.31,32.07
0.233559,-0.98,-26.37,-18.33,32.13
0.247416,-0.60,-26.54,-18.44,32.32
0.254939,-0.70,-26.54,-18.54,32.38
0.262940,-0.69,-26.72,-18.53,32.53
0.272873,-0.77,-26.83,-18.28,32.47
0.283588,-0.75,-26.68,-18.30,32.36
0.294673,-0.53,-26.94,-18.41,32.64
0.305224,-0.29,-26.95,-18.41,32.64
0.313126,-0.05,-26.88,-18.51,32.63
0.323376,-0.11,-26.97,-18.47,32.68
0.333884,0.22,-27.04,-18.35,32.68
0.344679,0.34,-26.97,-18.19,32.53
0.352669,0.31,-26.90,-18.37,32.57
0.362155,0.34,-26.95,-18.35,32.61
0.372768,0.24,-26.94,-18.02,32.41
0.382990,0.19,-26.90,-17.94,32.34
0.398328,0.24,-27.01,-17.86,32.39
0.401431,0.11,-26.90,-17.88,32.30
0.413933,-0.03,-26.72,-18.02,32.23
0.422741,-0.11,-27.01,-17.96,32.44
0.433553,0.06,-27.27,-17.84,32.58
0.444814,0.30,-27.14,-17.78,32.45
0.452654,0.32,-27.07,-18.00,32.51
0.463331,0.14,-27.00,-18.02,32.46
0.474112,0.05,-26.74,-17.81,32.12
0.483438,0.27,-26.63,-17.79,32.03
0.495197,0.27,-26.56,-17.79,31.97
0.502677,0.17,-26.50,-17.93,32.00
0.513176,0.01,-26.34,-17.99,31.90
0.526553,-0.16,-26.36,-18.38,32.14
0.532925,-0.20,-26.27,-18.42,32.09
0.544361,-0.22,-26.25,-18.30,32.00
0.553442,-0.26,-26.25,-18.31,32.00
0.563757,-0.60,-26.16,-18.35,31.96
0.572734,-0.60,-26.28,-18.29,32.02
0.586142,-0.70,-26.11,-18.19,31.84
0.598748,-0.80,-26.02,-18.29,31.82
0.602400,-0.94,-26.11,-17.98,31.72
0.619603,-0.96,-26.17,-17.79,31.66
0.622737,-0.52,-26.45,-17.72,31.84
0.633341,-0.39,-26.78,-17.70,32.10
0.645085,-0.13,-26.93,-17.54,32.14
0.653581,-0.25,-26.85,-17.52,32.06
0.663144,-0.05,-26.98,-17.38,32.09
0.673079,0.18,-27.06,-17.40,32.17
0.683047,0.09,-26.86,-17.46,32.03
0.698854,-0.03,-26.75,-17.71,32.08
0.705282,-0.27,-26.47,-17.68,31.84
0.714327,-0.44,-26.34,-17.74,31.77
0.722942,-0.36,-26.37,-17.82,31.82
0.733360,-0.27,-26.49,-17.78,31.91
0.743710,-0.19,-26.48,-17.84,31.93
