time,Azimuth:,Pitch:,Roll:
0.045638,-1.676,25.634,2.741
0.046701,-1.676,25.634,2.741
0.047667,-1.675,25.622,2.749
0.200939,-1.675,25.610,2.748
0.246197,-1.529,25.610,2.748
0.280824,-1.529,25.610,2.748
0.430333,-1.529,25.609,2.720
0.430839,-1.529,25.609,2.720
0.446721,-1.399,25.609,2.720
0.585164,-1.398,25.604,2.735
0.645894,-1.411,25.604,2.735
0.663489,-1.411,25.604,2.735
0.814496,-1.411,25.577,2.720
0.815070,-1.411,25.577,2.720
0.847977,-1.474,25.577,2.720
0.966003,-1.474,25.573,2.742
1.045742,-1.474,25.573,2.742
1.046903,-1.441,25.573,2.742
1.197716,-1.442,25.570,2.736
1.198381,-1.442,25.570,2.736
1.247387,-1.482,25.570,2.736
1.349290,-1.482,25.569,2.726
1.425856,-1.482,25.569,2.726
1.447640,-1.449,25.569,2.726
1.579751,-1.449,25.550,2.744
1.580092,-1.449,25.550,2.744
1.646129,-1.592,25.550,2.744
